DL Lesson	Simplified Chinese	Selected Pinyin	Simple English Definition	Clean CC-CEDICT English definition
Contact	多少	duō shǎo	how many	number / amount / somewhat || how much / how many / which (number) / as much as
Contact	多	duō	many	many / much / often / a lot of / numerous / more / in excess / how (to what extent) / multi- / Taiwan pr. [duo2] when it means 'how'
Contact	少	shǎo	few	few / less / to lack / to be missing / to stop (doing sth) / seldom || young
Contact	号	hào	roar	roar / cry / CL: 個｜个 || ordinal number / day of a month / mark / sign / business establishment / size / ship suffix / horn (wind instrument) / bugle call / assumed name / to take a pulse / classifier used to indicate number of people
Contact	码	mǎ		weight / number / code / to pile / to stack / classifier for length or distance (yard), happenings etc
Nation	中国	zhōng guó	China	China
Nation	人	rén	person	man / person / people / CL: 個｜个, 位
Nation	中	zhōng	middle	China / Chinese / surname Zhong || within / among / in / middle / center / while (doing sth) / during / (dialect) OK / all right || to hit (the mark) / to be hit by / to suffer / to win (a prize, a lottery)
Nation	国	guó	country	surname Guo || country / nation / state / national / CL: 個｜个
Nation	哪	nǎ	how	how / which || (particle equivalent to 啊 after noun ending in -n) || which? (interrogative, followed by classifier or numeral-classifier)
Nation	英国	yīng guó	United Kingdom	United Kingdom 聯合王國｜联合王国 / United Kingdom of Great Britain and Northern Ireland / abbr. for England 英格蘭｜英格兰
Nation	美国	měi guó	USA	United States / USA / US
Nation	英	yīng	British	United Kingdom / British / England / English / abbr. for 英國｜英国 || hero / outstanding / excellent / (literary) flower / blossom
Nation	美	měi	American	the Americas / abbr. for 美洲 / USA / abbr. for 美國｜美国 || beautiful / very satisfactory / good / to beautify / to be pleased with oneself
Nation	都	dōu	all	surname Du || all / both / entirely / (used for emphasis) even / already / (not) at all || capital city / metropolis
Nation	对	duì	correct	right / correct / couple / pair / towards / at / for / to face / opposite / to treat (sb a certain way) / to match together / to adjust / to fit / to suit / to answer / to reply / classifier: couple
Nation	加拿大	jiā ná dà	Canada	Canada / Canadian
Nation	加	jiā		abbr. for Canada 加拿大 / surname Jia || to add / plus / (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned) / to apply (restrictions etc) to (sb) / to give (support, consideration etc) to (sth)
Nation	拿	ná		to hold / to seize / to catch / to apprehend / to take / (used in the same way as 把: to mark the following noun as a direct object)
Nation	大	dà	big	big / huge / large / major / great / wide / deep / older (than) / oldest / eldest / greatly / very much / (dialect) father / father's elder or younger brother || see 大夫
Greeting 3	忙	máng	busy	busy / hurriedly / to hurry / to rush
Greeting 3	早上	zǎo shang	morning	early morning / CL: 個｜个
Greeting 3	早	zǎo	early	early / morning / Good morning! / long ago / prematurely
Greeting 3	上	shàng	on	see 上聲｜上声 || on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)
Greeting 3	怎么样	zěn me yàng	how	how? / how about? / how was it? / how are things?
Greeting 3	今天	jīn tiān	today	today / at the present / now
Greeting 3	怎	zěn	how	how
Greeting 3	样	yàng		manner / pattern / way / appearance / shape / classifier: kind, type
Greeting 3	今	jīn	present	today / modern / present / current / this / now
Greeting 3	天	tiān	day	day / sky / heaven
Location 1	家	jiā	home	see 傢伙｜家伙 || surname Jia || home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL: 個｜个
Location 1	北京	běi jīng	Beijing	Beijing, capital of People's Republic of China / Peking / PRC government
Location 1	在	zài	in	(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)
Location 1	北	běi	north	north / to be defeated (classical)
Location 1	京	jīng	Capital	abbr. for Beijing / surname Jing / Jing ethnic minority || capital city of a country / big / algebraic term for a large number (old) / artificial mound (old)
Location 1	哪儿	nǎr	where	where? / wherever / anywhere
Location 1	纽约	niǔ yuē	New York	New York
Location 1	香港	xiāng gǎng	Hong Kong	Hong Kong
Location 1	儿	ér	child	child / son || non-syllabic diminutive suffix / retroflex final
Location 1	纽	niǔ		to turn / to wrench / button / nu (Greek letter Νν)
Location 1	约	yuē		to weigh in a balance or on a scale || to make an appointment / to invite / approximately / pact / treaty / to economize / to restrict / to reduce (a fraction) / concise
Location 1	香	xiāng	Fragrant	fragrant / sweet smelling / aromatic / savory or appetizing / (to eat) with relish / (of sleep) sound / perfume or spice / joss or incense stick / CL: 根
Location 1	港	gǎng	Harbor	Hong Kong, abbr. for 香港 / surname Gang || harbor / port / CL: 個｜个
Location 1	住	zhù	to live	to live / to dwell / to stay / to reside / to stop / (suffix indicating firmness, steadiness, or coming to a halt)
Location 1	伦敦	lún dūn	London	London, capital of United Kingdom
Location 1	台湾	tái wān	Taiwan	Taiwan
Location 1	伦	lún		human relationship / order / coherence
Location 1	敦	dūn		kindhearted / place name
Location 1	台	tái	Taiwan (Abbr)	Taiwan (abbr.) / surname Tai || (classical) you (in letters) / variant of 臺｜台 || desk / table / counter || Taiwan (abbr.) || platform / stage / terrace / stand / support / station / broadcasting station / classifier for vehicles or machines || typhoon
Location 1	湾	wān	Bay	bay / gulf / to cast anchor / to moor (a boat)
Phrases 1	谢谢	xiè xie	thanks	to thank / thanks / thank you
Phrases 1	不客气	bù kè qi	You're welcome	you're welcome / don't mention it / impolite / rude / blunt
Phrases 1	谢	xiè	to thank	surname Xie || to thank / to apologize / to wither (of flowers, leaves etc) / to decline
Phrases 1	客	kè	customer	customer / visitor / guest
Phrases 1	气	qì	Gas	gas / air / smell / weather / to make angry / to annoy / to get angry / vital energy / qi
Phrases 1	对不起	duì bu qǐ	sorry	unworthy / to let down / I'm sorry / excuse me / pardon me / if you please / sorry? (please repeat)
Phrases 1	没关系	méi guān xi	it doesn't matter	it doesn't matter
Phrases 1	起	qǐ	To rise	to rise / to raise / to get up / to set out / to start / to appear / to launch / to initiate (action) / to draft / to establish / to get (from a depot or counter) / verb suffix, to start / starting from (a time, place, price etc) / classifier for occurrences or unpredictable events: case, instance / classifier for groups: batch, group
Phrases 1	没	méi	not	(negative prefix for verbs) / have not / not || drowned / to end / to die / to inundate
Phrases 1	关	guān	to close	surname Guan || mountain pass / to close / to shut / to turn off / to concern / to involve
Phrases 1	系	xì	to connect	to connect / to relate to / to tie up / to bind / to be (literary) || system / department / faculty || to tie / to fasten / to button up || to connect / to arrest / to worry
Family 1	爸爸	bà ba	dad	(informal) father / CL: 個｜个, 位
Family 1	妈妈	mā ma	mom	mama / mommy / mother / CL: 個｜个, 位
Family 1	爱	ài	love	to love / to be fond of / to like / affection / to be inclined (to do sth) / to tend to (happen)
Family 1	家人	jiā rén	family	household / (one's) family
Family 1	爸	bà	dad	father / dad / pa / papa
Family 1	妈	mā	mom	ma / mom / mother
Family 1	谁	shéi	who	who / also pr. [shui2]
Family 1	那	nà	that	surname Na || surname Nuo || that / those / then (in that case) / commonly pr. [nei4] before a classifier, esp. in Beijing || (archaic) many / beautiful / how / old variant of 挪
Family 1	个	gè	individual	individual / this / that / size / classifier for people or objects in general
Family 1	这	zhè	this	this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)
Family 1	哥哥	gē ge	older brother	older brother / CL: 個｜个, 位
Family 1	姐姐	jiě jie	older sister	older sister / CL: 個｜个
Family 1	有	yǒu	to have	to have / there is / there are / to exist / to be
Family 1	哥	gē	older brother	elder brother
Family 1	姐	jiě	older sister	older sister
Family 1	弟弟	dì di	younger brother	younger brother / CL: 個｜个, 位
Family 1	和	hé	and	surname He / Japanese (food, clothes etc) || and / together with / with / sum / union / peace / harmony / Taiwan pr. [han4] when it means 'and' or 'with' || to compose a poem in reply (to sb's poem) using the same rhyme sequence / to join in the singing / to chime in with others || to complete a set in mahjong or playing cards || to combine a powdery substance (flour, plaster etc) with water / Taiwan pr. [huo4] || to mix (ingredients) together / to blend / classifier for rinses of clothes / classifier for boilings of medicinal herbs
Family 1	妹妹	mèi mei	younger sister	younger sister / young woman / CL: 個｜个
Family 1	弟	dì	younger brother	younger brother / junior male / I (modest word in letter)
Family 1	妹	mèi	younger sister	younger sister
Phrases 2	请问	qǐng wèn	excuse me	Excuse me, may I ask...?
Phrases 2	知道	zhī dào	to know	to know / to become aware of / also pr. [zhi1 dao5]
Phrases 2	问	wèn	to ask	to ask
Phrases 2	请	qǐng	please	to ask / to invite / please (do sth) / to treat (to a meal etc) / to request
Phrases 2	知	zhī	to know	to know / to be aware
Phrases 2	道	dào	road	road / path / CL: 條｜条, 股 / principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process / (old) administrative division (similar to province in Tang times)
Phrases 2	说	shuō	to speak or say	to persuade || to speak / to say / to explain / to scold / to tell off / a theory (typically the last character in a compound, as in 日心說｜日心说 heliocentric theory)
Phrases 2	英语	yīng yǔ	English language	English (language)
Phrases 2	汉语	hàn yǔ	Chinese language	Chinese language / CL: 門｜门
Phrases 2	汉	hàn	Han ethnic group	Han ethnic group / Chinese (language) / the Han dynasty (206 BC-220 AD) || man
Phrases 2	语	yǔ	language	dialect / language / speech || to tell to
Phrases 2	帮助	bāng zhù	to help	assistance / aid / to help / to assist
Phrases 2	次	cì	next in sequence	next in sequence / second / the second (day, time etc) / secondary / vice- / sub- / infra- / inferior quality / substandard / order / sequence / hypo- (chemistry) / classifier for enumerated events: time
Phrases 2	帮	bāng	to help	to help / to assist / to support / for sb (i.e. as a help) / hired (as worker) / side (of pail, boat etc) / outer layer / upper (of a shoe) / group / gang / clique / party / secret society
Phrases 2	助	zhù	to help	to help / to assist
Greeting 4	早安	zǎo ān	good morning	Good morning!
Greeting 4	晚安	wǎn ān	good evening	Good night! / Good evening!
Greeting 4	一会儿	yī huìr	a moment	a moment / a while / in a moment / now...now... / also pr. [yi1 hui3 r5]
Greeting 4	会	huì	can	can / to be possible / to be able to / will / to be likely to / to be sure to / to assemble / to meet / to gather / to see / union / group / association / CL: 個｜个 / a moment (Taiwan pr. for this sense is [hui3]) || to balance an account / accountancy / accounting
Greeting 4	安	ān	quiet	surname An || content / calm / still / quiet / safe / secure / in good health / to find a place for / to install / to fix / to fit / to bring (a charge against sb) / to pacify / to harbor (good intentions) / security / safety / peace / ampere
Greeting 4	最近	zuì jìn	recently	recent / recently / these days / latest / soon / nearest (of locations) / shortest (of routes)
Greeting 4	好久不见	hǎo jiǔ bu jiàn	long time no see	long time no see
Greeting 4	不错	bù cuò	not bad	correct / right / not bad / pretty good
Greeting 4	最	zuì	most	most / the most / -est (superlative suffix)
Greeting 4	近	jìn	near	near / close to / approximately
Greeting 4	久	jiǔ	long time	(long) time / (long) duration of time
Greeting 4	错	cuò	mistake	surname Cuo || mistake / wrong / bad / interlocking / complex / to grind / to polish / to alternate / to stagger / to miss / to let slip / to evade / to inlay with gold or silver
Drink	要	yào	to want	to demand / to request / to coerce || important / vital / to want / to ask for / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably / if
Drink	热	rè	to warm up	to warm up / to heat up / hot (of weather) / heat / fervent
Drink	冰	bīng	ice	ice / CL: 塊｜块 / to chill sth / (of an object or substance) to feel cold / (of a person) cold / unfriendly / (slang) methamphetamine
Drink	牛奶	niú nǎi	cow's milk	cow's milk / CL: 瓶, 杯
Drink	咖啡	kā fēi	coffee	coffee (loanword) / CL: 杯
Drink	牛	niú	ox	surname Niu || ox / cow / bull / CL: 條｜条, 頭｜头 / (slang) awesome
Drink	奶	nǎi	milk	breast / milk / to breastfeed || mother / variant of 奶
Drink	咖	kā		coffee / class / grade
Drink	啡	fēi		(phonetic component)
Location 2	洗手间	xǐ shǒu jiān	bathroom	toilet / lavatory / washroom
Location 2	医院	yī yuàn	hospital	hospital / CL: 所, 家, 座
Location 2	洗	xǐ	to wash	to wash / to bathe / to develop (photo)
Location 2	手	shǒu	hand	hand / (formal) to hold / person engaged in certain types of work / person skilled in certain types of work / personal(ly) / convenient / classifier for skill / CL: 雙｜双, 隻｜只
Location 2	间	jiān	room	between / among / within a definite time or space / room / section of a room or lateral space between two pairs of pillars / classifier for rooms || gap / to separate / to thin out (seedlings) / to sow discontent
Location 2	院	yuàn	courtyard	courtyard / institution / CL: 個｜个
Location 2	这儿	zhèr	here	here
Location 2	那儿	nàr	there	there
Location 2	饭馆	fàn guǎn	restaurant	restaurant / CL: 家
Location 2	馆	guǎn	building	building / shop / term for certain service establishments / embassy or consulate / schoolroom (old) / CL: 家
Time 1	年	nián	year	surname Nian || year / CL: 個｜个 || grain / harvest (old) / variant of 年
Time 1	月	yuè	moon	moon / month / monthly / CL: 個｜个, 輪｜轮
Time 1	几	jǐ	how much	small table || almost || how much / how many / several / a few
Time 1	〇	líng	zero	zero
Time 1	星期	xīng qī	week	week / CL: 個｜个 / day of the week / Sunday
Time 1	明天	míng tiān	tomorrow	tomorrow
Time 1	日	rì	sun	abbr. for 日本, Japan || sun / day / date, day of the month
Time 1	星	xīng	star	star / heavenly body / satellite / small amount
Time 1	期	qī	period of time	a period of time / phase / stage / classifier for issues of a periodical, courses of study / time / term / period / to hope / Taiwan pr. [qi2]
Time 1	点	diǎn	o'clock	point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更 / dot stroke in Chinese characters / classifier for items
Time 1	现在	xiàn zài	now	now / at present / at the moment / modern / current / nowadays
Time 1	半	bàn	half	half / semi- / incomplete / (after a number) and a half
Time 1	现	xiàn	to appear	to appear / present / now / existing / current
Family 2	孩子	hái zi	child	child
Family 2	两	liǎng	two	two / both / some / a few / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)
Family 2	孩	hái	child	child
Family 2	子	zǐ	son	son / child / seed / egg / small thing / 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat / Viscount, fourth of five orders of nobility 五等爵位 / ancient Chinese compass point: 0° (north) || (noun suffix)
Family 2	女儿	nǚ ér	daughter	daughter
Family 2	儿子	ér zi	son	son
Family 2	岁	suì	years of age	classifier for years (of age) / year / year (of crop harvests)
Family 2	女	nǚ	female	female / woman / daughter
Family 2	妻子	qī zǐ	wife	wife and children || wife / CL: 個｜个
Family 2	丈夫	zhàng fu	husband	husband / CL: 個｜个
Family 2	妻	qī	wife	wife || to marry off (a daughter)
Family 2	丈	zhàng	husband	measure of length, ten Chinese feet (3.3 m) / to measure / husband / polite appellation for an older male
Family 2	夫	fū	husband	husband / man / manual worker / conscripted laborer (old) || (classical) this, that / he, she, they / (exclamatory final particle) / (initial particle, introduces an opinion)
Family 2	猫	māo	cat	cat / CL: 隻｜只 / (dialect) to hide oneself / (coll.) modem
Family 2	它	tā	it	it
Family 2	狗	gǒu	dog	dog / CL: 隻｜只, 條｜条
Telephone	喂	wéi	hey	hello (when answering the phone) || hey / to feed (an animal, baby, invalid etc) || to feed
Telephone	慢	màn	slow	slow
Telephone	一点儿	yī diǎnr	a little	erhua variant of 一點｜一点
Telephone	快	kuài	fast	rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plainspoken / gratified / pleased / pleasant
Telephone	得	dé	to get	to obtain / to get / to gain / to catch (a disease) / proper / suitable / proud / contented / to allow / to permit / ready / finished || structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc || to have to / must / ought to / to need to
Telephone	明白	míng bai	to understand	clear / obvious / unequivocal / to understand / to realize
Telephone	白	bái	white	surname Bai || white / snowy / pure / bright / empty / blank / plain / clear / to make clear / in vain / gratuitous / free of charge / reactionary / anti-communist / funeral / to stare coldly / to write wrong character / to state / to explain / vernacular / spoken lines in opera
People 1	漂亮	piào liang	pretty	pretty / beautiful
People 1	漂	piāo	to float	to float / to drift || to bleach || elegant / polished
People 1	亮	liàng	bright	bright / clear / resonant / to shine / to show / to reveal
People 1	朋友	péng you	friend	friend / CL: 個｜个, 位
People 1	男	nán	male	male / Baron, lowest of five orders of nobility 五等爵位 / CL: 個｜个
People 1	矮	ǎi	short (in height	low / short (in length)
People 1	朋	péng	friend	friend
People 1	友	yǒu	friend	friend
People 1	可爱	kě ài	cute	adorable / cute / lovely
People 1	非常	fēi cháng	very	very / very much / unusual / extraordinary
People 1	可	kě	can	can / may / able to / to approve / to permit / to suit / (particle used for emphasis) certainly / very || see 可汗
People 1	非	fēi	to not be	abbr. for 非洲, Africa || to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must
People 1	常	cháng	always	surname Chang || always / ever / often / frequently / common / general / constant
Time 2	上午	shàng wǔ	morning	morning / CL: 個｜个
Time 2	分	fēn	minute	to divide / to separate / to distribute / to allocate / to distinguish (good and bad) / part or subdivision / fraction / one tenth (of certain units) / unit of length equivalent to 0.33 cm / minute (unit of time) / minute (angular measurement unit) / a point (in sports or games) / 0.01 yuan (unit of money) || part / share / ingredient / component
Time 2	下午	xià wǔ	afternoon	afternoon / CL: 個｜个 / p.m.
Time 2	晚上	wǎn shang	evening	evening / night / CL: 個｜个 / in the evening
Time 2	午	wǔ	noon	7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse / ancient Chinese compass point: 180° (south)
Time 2	晚	wǎn	evening	evening / night / late
Time 2	下	xià	down	down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action
Time 2	每	měi	each	each / every
Time 2	中午	zhōng wǔ	noon	noon / midday / CL: 個｜个
Time 2	周末	zhōu mò	weekend	weekend
Time 2	周	zhōu	to circle	surname Zhou / Zhou Dynasty (1046-256 BC) || to make a circuit / to circle / circle / circumference / lap / cycle / complete / all / all over / thorough / to help financially || week / weekly / variant of 周
Time 2	末	mò	tip	tip / end / final stage / latter part / inessential detail / powder / dust / opera role of old man
Time 2	昨天	zuó tiān	yesterday	yesterday
Time 2	了	le	(modal particle intensifying preceding clause)	(modal particle intensifying preceding clause) / (completed action marker) || to finish / to achieve / variant of 瞭｜了 / to understand clearly || (of eyes) bright / clear-sighted / to understand clearly
Time 2	做	zuò	to do	to do / to make / to produce / to write / to compose / to act as / to engage in / to hold (a party) / to be / to become / to function (in some capacity) / to serve as / to be used for / to form (a bond or relationship) / to pretend / to feign / to act a part / to put on appearance
Time 2	昨	zuó	yesterday	yesterday
Time 2	今年	jīn nián	this year	this year
Time 2	去年	qù nián	last year	last year
Time 2	明年	míng nián	next year	next year
Time 2	去	qù	to go	to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation)
Location 3	旁边	páng biān	next to	lateral / side / to the side / beside
Location 3	左边	zuǒ bian	to the left of	left / the left side / to the left of
Location 3	右边	yòu bian	to the right of	right side / right, to the right
Location 3	旁	páng	beside	beside / one side / other / side / self / the right-hand side of split Chinese character, often the phonetic
Location 3	左	zuǒ	left	surname Zuo || left / the Left (politics) / east / unorthodox / queer / wrong / differing / opposite / variant of 佐
Location 3	右	yòu	right	right (-hand) / the Right (politics) / west (old)
Location 3	边	biān	side	side / edge / margin / border / boundary / CL: 個｜个 / simultaneously || suffix of a noun of locality
Location 3	前面	qián miàn	ahead	ahead / in front / preceding / above / also pr. [qian2 mian5]
Location 3	后面	hòu miàn	rear	rear / back / behind / later / afterwards / also pr. [hou4 mian5]
Location 3	学校	xué xiào	school	school / CL: 所
Location 3	前	qián	front	front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly
Location 3	后	hòu	back	surname Hou || empress / queen || back / behind / rear / afterwards / after / later
Location 3	校	jiào	to check	to proofread / to check / to compare || school / military officer / CL: 所
Location 3	走	zǒu	to walk	to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)
Location 3	到	dào	to arrive	to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action)
Location 3	路	lù	road	surname Lu || road / CL: 條｜条 / journey / route / line (bus etc) / sort / kind
Location 3	怎么	zěn me	how?	how? / what? / why?
Location 3	哪里	nǎ lǐ	where?	where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment / also written 哪裡｜哪里 || where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment
Location 3	这里	zhè lǐ	here	here
Location 3	那里	nà li	there	there / that place / also written 那裡｜那里 || there / that place
Location 3	往	wǎng	to go (in a direction)	to go (in a direction) / to / towards / (of a train) bound for / past / previous
Location 3	里	lǐ	inside	lining / interior / inside / internal / also written 裏｜里 || Li (surname) || li, ancient measure of length, approx. 500 m / neighborhood / ancient administrative unit of 25 families / (Tw) borough, administrative unit between the township 鎮｜镇 and neighborhood 鄰｜邻 levels
Hobbies 1	喜欢	xǐ huan	to like	to like / to be fond of
